Title,Description,Date,Source,Annotation category,Annotation tone
The Meaning Behind Taylor Swift’s 1989 Vault Track ‘Slut!’,"Taylor Swift boldly reclaims a word that's been hurled at her in 1989 (Taylor's Version), with ""Slut!""",2023-10-27T17:13:51Z,Time,Musical Creation,Positive
"Taylor Swift, Brent Faiyaz, Silvana Estrada, and More: This Week’s Pitchfork Selects Playlist","Our weekly playlist highlights songs that our writers, editors, and contributors are listening to on repeat",2023-10-30T12:55:43Z,Pitchfork,Musical Creation,Positive
"9 New Albums You Should Listen to Now: Taylor Swift, Sofia Kourtesis, and More","Stream new releases from Taylor Swift, Sofia Kourtesis, the Mountain Goats, Ragana, Shabazz Palaces, Murda Beatz & Shordie Shordie, Ryan Davis & the Roadhouse Band, María José Llergo, and New Age Doom & Tuvaband",2023-10-27T12:38:32Z,Pitchfork,Musical Creation,Positive
Kendrick Lamar and Taylor Swift Re-Record “Bad Blood” for 1989 (Taylor’s Version): Listen,"“Watching [Kendrick Lamar] create and record his verses on the Bad Blood remix was one of the most inspiring experiences of my life,” Swift gushed",2023-10-27T15:44:18Z,Pitchfork,Musical Creation,Neutral
Taylor Swift Fonts Identified + Free Alternatives,"Explore the captivating world of Taylor Swift fonts, enhancing the visual impact of her music. Discover how typography elevates her musical artistry.",2023-10-30T03:25:04Z,Justcreative.com,Industry-specific Impact,Positive
Taylor Swift: 1989 (Taylor’s Version),Read Shaad D'Souza’s review of the album.,2023-10-30T04:03:00Z,Pitchfork,Musical Creation,Neutral
"Taylor Swift reportedly just joined the billionaire's club, thanks to her Eras tour","Taylor Swift's net worth is now over $1 billion thanks to the Eras tour, Bloomberg reports. The news comes amid the release of '1989 (Taylor's Version)' and her concert film's box office success.",2023-10-27T17:21:57Z,Los Angeles Times,Performances,Positive
"TMZ: Travis Kelce, Taylor Swift Dating 'Overwhelming' for Jason, Mom Donna and Family","Kansas City Chiefs tight end Travis Kelce's relationship with Taylor Swift has been an adjustment for the entire Kelce family, according to TMZ Sports.…",2023-10-31T14:35:29Z,Bleacher Report,Romance,Negative
"Taylor Swift and Brittany Mahomes Exchange Numbers, Friendship Not for Show",The budding friendship between Taylor Swift and Brittany Mahomes isn't just for cameras on Sundays ... they've exchanged phone numbers and they're giving BFF vibes!!! Sources close to Taylor and Brittany tell TMZ ... they swapped digits the first…,2023-10-29T08:00:30Z,TMZ,Personal Life,Positive
NFL Fans Think Josh Allen Used 'Taylor Swift' Audible During 'TNF' Game,Some NFL fans think Taylor Swift-mania made it all the way to Buffalo on Thursday night ... convinced quarterback Josh Allen used an audible featuring the pop star's name during the Bills vs. Bucs game. The moment happened just minutes into the…,2023-10-27T13:18:25Z,TMZ,Industry-specific Impact,Neutral
Taylor Swift: The Eras Tour Box Office Passes Huge Milestone In Just 3 Weekends,Taylor Swift: The Eras Tour has passed a massive milestone at the worldwide box office that no other concert documentary has crossed before.,2023-10-29T16:20:26Z,Screen Rant,Performances,Positive
"Taylor Swift, Brent Faiyaz, Mr. Eazi, and All the Songs You Need to Know This Week",Looking for the week's best new music? Check out our Songs You Need to Know playlist,2023-10-27T17:24:40Z,Rolling Stone,Musical Creation,Positive
Taylor Swift Adds “Bad Blood” Remix With Re-Recorded Kendrick Lamar To 1989 (Taylor’s Version),"Taylor Swift’s fourth re-recorded album, 1989 (Taylor’s Version), is out today. (That means the only albums she has left to re-record from her Big Machine era are her self-titled debut and Reputation.) The deluxe edition of the album includes the “Bad Blood” …",2023-10-27T18:32:20Z,Stereogum,Musical Creation,Positive
The Fed’s main inflation gauge is climbing—and analysts blame Taylor Swift,"The Federal Reserve’s preferred inflation metric inched 0.3% higher in September, but its annual pace of 3.7% is lower than August’s 3.8%, according to a Bureau of Economic Analysis (BEA) report released today (Oct. 27). While it’s the lowest reading in two y…",2023-10-27T17:18:00Z,Quartz India,Industry-specific Impact,Negative
Taylor Swift and Diane Warren Wrote ‘Say Don’t Go’ 9 Years Ago. She Still Thinks It’s a ‘F—king Hit’,"The legendary songwriter reflects on co-writing with Swift and demoing the track on New Year's Day 2014: ""Everybody's on vacation, but she showed up""",2023-10-27T18:11:30Z,Rolling Stone,Musical Creation,Positive
Taylor Swift Unearths Her Knee High Boots,"She's a hoarder! (Me too.)
The post Taylor Swift Unearths Her Knee High Boots first appeared on Go Fug Yourself.",2023-10-27T18:07:37Z,Gofugyourself.com,Performances,Neutral
Taylor Swift net worth 2023,"For years, Taylor Swift has been in the headlines for both her career and her cash moves. The talented singer and songwriter's 'Eras' tour was so popular that high demand put Swift head-to-head with Ticketmaster (TKTM) - Get Free Report. That very same tour s…",2023-10-27T17:44:21Z,Biztoc.com,Personal Life,Neutral
Taylor Swift Is Officially A Billionaire,"With a record-breaking tour, a blockbuster movie and a shrewd mind for business, the 33-year-old singer is now worth an estimated $1.1 billion.",2023-10-27T22:29:44Z,Forbes,Personal Life,Neutral
"Taylor Swift Is In Her Billionaire Era, Thanks To Tour","The 33-year-old is “a generational talent … and has great ideas,” says labor economist Carolyn Sloane.",2023-10-28T17:36:13Z,Vanity Fair,Performances,Positive
"Taylor Swift, Travis Kelce, And The Modern Romance Dilemma",Taylor Swift and Travis Kelce are a case study in shifting gender roles and financial disparities in modern relationships.,2023-10-27T16:57:22Z,Forbes,Romance,Neutral
Taylor Swift Is Officially a Billionaire,"Taylor Swift keeps cruising, can't stop won't stop moving and it has paid off—literally. 
The ""Bejeweled"" singer has officially crossed the threshold into billionaire status with the launch of her...",2023-10-27T12:17:40Z,Eonline.com,Personal Life,Neutral
Cameron Diaz Recalls Her Night at Taylor Swift's 'Eras Tour' With Celebrity Besties,"Cameron Diaz is dishing on her night at Taylor Swift‘s Eras Tour with some celebrity besties! During an appearance on The Tonight Show, the 51-year-old actress explained how she ended up attending the concert with Zoe Saldana, Elsa Collins, and Tiffany Haddis…",2023-10-27T20:29:40Z,Just Jared,Personal Life,Positive
Why A-Rod Is Grateful for Taylor Swift and Beyoncé,"ALEX RODRIGUEZ, the 14-time Major League Baseball all-star, has established himself as a businessman since he left the dugout in 2016. He manages a variety of real estate holdings and companies under his investment firm, A-Rod Corp, including the Minnesota Ti…",2023-10-30T13:02:07Z,Biztoc.com,Personal Life,Positive
"Taylor Swift now estimated to be a billionaire, report says","Taylor Swift’s Eras tour has catapulted her to billionaire status, according to a new report from Bloomberg, making her one of the few recording artists to build a 10-figure fortune almost entirely from her music. The “most definitive account yet” of the 33-y…",2023-10-27T22:56:07Z,Biztoc.com,Personal Life,Neutral
Every Song That Taylor Swift and Harry Styles' Romance Inspired,"Songs about exes never go out style.
Taylor Swift released her fourth re-recorded album, 1989 (Taylor's Version) on Oct. 27, exactly nine years after the release of the original 1989. And, just...",2023-10-28T11:00:00Z,Eonline.com,Romance,Neutral
Taylor Swift Unveils 1989 (Taylor’s Version): Stream,"The artist now finally owns the masters to her beloved 2014 effort. 
Taylor Swift Unveils 1989 (Taylor’s Version): Stream
Carys Anderson",2023-10-27T04:00:26Z,Consequence.net,Musical Creation,Neutral
It’s Official: Taylor Swift Is a Billionaire,"Taylor Swift is now a billionaire, thanks to a landmark year with the ""Eras Tour,"" its concert film, new Taylor's Version releases, and more.",2023-10-27T14:22:04Z,Consequence.net,Personal Life,Neutral
Is Taylor Swift Travis Kelce's Phone Background? Swifties Think So After Seeing a Photo of His Phone,Swifties think that Travis Kelce is bringing a photo of Taylor Swift with him everywhere he goes. The 34-year-old tight end for the Kansas City Chiefs’ relationship with the 33-year-old pop titan has been headline news in recent weeks. The latest report about…,2023-10-29T00:03:41Z,Just Jared,Romance,Neutral
"Taylor Swift Reveals Original “New Romantics” and “Wonderland"" Lyrics","Fans are enchanted by Taylor Swift's original song lyrics.
The pop star shared the first draft of the lyrics she wrote for the 1989 hits ""New Romantics"" and ""Wonderland"" by including photos of her...",2023-10-27T20:49:26Z,Eonline.com,Musical Creation,Neutral
Taylor Swift and Travis Kelce Have the Same Taste In Rolexes,The newly-formed power couple are a match made in horological heaven. Both Taylor Swift and Travis Kelce have a penchant for the iconic Rolex Day-Date.,2023-10-31T15:37:30Z,GQ Magazine,Romance,Neutral
Box Office Redemption: Beyonce And Taylor Swift Reviving Fortunes Of Movie Theaters In 2023 | Forbes,"Mark Hughes, a screenwriter and Forbes contributor, joins ""Forbes Talks"" with Rosemarie Miller, to discuss Beyonce and Taylor Swift's upcoming concert films and how they'll impact the box office, movie theaters, and culture.",2023-10-30T14:39:33Z,Forbes,Performances,Positive
Taylor Swift Hasn’t Won The Album Of The Year Grammy (Again) Just Yet,"Midnights is undoubtedly a strong contender for a nomination in the Album of the Year category. That said, a win is still far from guaranteed.",2023-10-27T13:00:31Z,Forbes,Musical Creation,Negative
"""The Taylor Swift Effect Is Community""- Dr. Marcus Collins, Marketing Professor At University Of Michigan","Dr. Marcus Collins, a marketing professor at the University of Michigan and author of For the Culture, joins 'Forbes Talks' to discuss what Taylor Swift teaches us about influence.",2023-10-30T15:35:28Z,Forbes,Industry-specific Impact,Neutral
Taylor Swift Drops Re-Recorded ‘1989’ In Ongoing Quest To Shake Off Corporate Control,1989 (Taylor’s Version) contains five new songs and is Swift’s fourth re-recorded album.,2023-10-27T10:00:28Z,Forbes,Musical Creation,Positive
Taylor Swift Didn’t Need Lucrative Side Hustles To Become A Billionaire,What distinguishes the 33-year-old singer-songwriter from other wealthy artists is how she accumulated her billion-dollar fortune.,2023-10-30T15:56:27Z,Forbes,Personal Life,Positive
Beyonce & Taylor Swift Films Approach Box Offices: How Does This Change The Music and Film Industry,"Mark Hughes, a screenwriter and Forbes contributor, joins ""Forbes Talks"" with Rosemarie Miller, to discuss Beyonce and Taylor Swift's upcoming concert films and how they'll impact the box office, movie theaters, and culture.",2023-10-29T17:13:38Z,Forbes,Performances,Positive
Box Office Redemption: Beyonce And Taylor Swift Reviving Fortunes Of Movie Theaters In 2023 | Forbes,"Mark Hughes, a screenwriter and Forbes contributor, joins ""Forbes Talks"" with Rosemarie Miller, to discuss Beyonce and Taylor Swift's upcoming concert films and how they'll impact the box office, movie theaters, and culture.",2023-10-29T17:03:50Z,Forbes,Performances,Positive
Did Taylor Swift Succeed at Recreating Her Biggest Album?,"Photo Illustration by The Daily Beast / Getty
That 1989 (Taylor’s Version) would eventually become the superior product of Taylor Swift’s dogged, years-long mission to re-record all her pre-Lover albums was determined a little over two years ago.In September…",2023-10-27T17:46:54Z,Daily Beast,Musical Creation,Neutral
Kendrick Lamar revisited Taylor Swift's 'Bad Blood' and Swifties are grateful: 'Legend',"Taylor Swift said it was 'surreal and bewildering' to have rapper Kendrick Lamar re-record his verse on the 'Bad Blood' remix, nine years after its release.",2023-10-27T20:22:21Z,Los Angeles Times,Musical Creation,Positive
‘Taylor Swift: The Eras Tour’: What Hollywood Can Learn from Taylor Swift,"Taylor Swift: The Eras Tour is a concert event movie that's such a Big Deal it gets its own special versions of trailers. (""Hey Swifties, get ready for your next concert,"" the Trolls Band Together ad attempts to manifest through...",2023-10-28T18:30:00Z,Pajiba.com,Performances,Positive
Taylor Swift reaches billionaire status with Eras Tour success: report,"The global pop sensation, 33, has officially built a billion-dollar empire following the major success of her 2023 Eras Tour, according to Bloomberg News analysis.",2023-10-27T09:54:35Z,Page Six,Performances,Positive
Taylor Swift Hasn’t Won The Album Of The Year Grammy (Again) Just Yet,"Taylor Swift finds herself once again as a frontrunner for the coveted Album of the Year Grammy. Her latest album Midnights, released in late 2022, has been nothing short of a commercial and critical sensation. It continues to sell and stream incredibly well,…",2023-10-27T13:06:14Z,Biztoc.com,Musical Creation,Neutral
Bills QB Josh Allen probably did not call a 'Taylor Swift' audible,"Even in games unrelated to Travis Kelce or the Kansas City Chiefs, pop star Taylor Swift is on NFL fans' minds. The Buffalo Bills picked up a much-needed win in their Thursday Night Football showdown against the Tampa Bay Buccaneers, holding off a late Hail M…",2023-10-27T16:46:08Z,Biztoc.com,Public Image & Media Perception,Neutral
Learn From Taylor Swift: 3 Lessons In Leadership,"Title: ""Leading with Taylor Swift: Lessons in Authenticity, Adaptability, and Success"" Introduction: In the world of leadership, there's much to be learned from extrao...",2023-10-30T14:53:56Z,Forbes,Industry-specific Impact,Positive
"Trisha Paytas and Moses Hacmon Dress Up As Taylor Swift, Travis Kelce","You'll be enchanted to see Trisha Paytas and Moses Hacmon's Halloween costumes. And we bet Taylor Swift and Travis Kelce will be too.
That's because the YouTuber and her husband dressed up as the...",2023-10-31T18:00:38Z,Eonline.com,Public Image & Media Perception,Positive
Stream Taylor Swift’s 1989 (Taylor’s Version) Featuring Five Vault Tracks,"Taylor Swift’s re-recording campaign rolls on. Today, Swift has released the (Taylor’s Version) for her 2014 album 1989. This is the fourth album she’s re-recorded; the most recent was Speak Now, which came out in July. She announced 1989 the following month,…",2023-10-27T04:01:04Z,Stereogum,Musical Creation,Neutral
MLB Stars Love Taylor Swift Too — Who Are the Biggest Baseball Swifties?,"Taylor Swift’s romance with Travis Kelce has made her the talk of the NFL, but football players aren’t the only athletes to show the singer love. New York Yankees first baseman Anthony Rizzo changed his walk-up song to Swift’s Reputation hit “Ready for It?” d…",2023-10-28T00:00:11Z,Us Weekly,Industry-specific Impact,Positive
Taylor Swift has reportedly entered her billionaire era with success of Eras Tour,"The 33-year-old is now worth $1.1 billion, according to Bloomberg News.",2023-10-27T14:00:00Z,CNBC,Performances,Positive
22 New York Restaurants Where Taylor Swift Has Dined,Places to visit — or avoid,2023-10-27T22:28:16Z,Eater,Public Image & Media Perception,Positive
"Superman & Lois, Jack Black/Taylor Swift & More: BCTV Daily Dispatch","With My Chemical Romance checking in with ""Sing"" (BCTV DD's official new theme song), we welcome you back to the BCTV Daily Dispatch! Here's where we look back at what we've been doing for the past 24 hours that you might've missed or might want to check out …",2023-10-27T11:37:10Z,Bleeding Cool News,Performances,Neutral
Major Labels Are Trying to Stop Artists from Re-Recording Their Music like Taylor Swift,"Universal, Sony, and Warner have updated their contracts to make it more difficult for artists to pull their own ""(Taylor's Version)."" 
Major Labels Are Trying to Stop Artists from Re-Recording Their Music like Taylor Swift
Abby Jones",2023-10-30T18:18:19Z,Consequence.net,Industry-specific Impact,Neutral
Taylor Swift Is Officially A Billionaire: Report,The singer-songwriter has officially joined the likes of Jay-Z and Rihanna — without business ventures outside of music.,2023-10-27T19:41:10Z,HuffPost,Personal Life,Neutral
"Video: Broncos Play Taylor Swift's 'Shake It Off' After Beating Travis Kelce, Chiefs",The Kansas City Chiefs need to shake off their 24-9 loss to the Denver Broncos Sunday. That's what the home team indicated with their postgame song choice.…,2023-10-30T01:31:09Z,Bleacher Report,Romance,Neutral
Patrick Mahomes Is Jealous of Taylor Swift & Britney Mahomes' Handshake,"Patrick Mahomes is feeling inspired by Taylor Swift‘s handshake with his wife, Britney Mahomes! At the October 22 NFL game between the Los Angeles Chargers and the Kansas City Chiefs, Taylor and Britney celebrated a touchdown in the stands with an epic handsh…",2023-10-27T21:12:18Z,Just Jared,Personal Life,Positive
Morgan Freeman Weighs In on Taylor Swift & Travis Kelce's Romance,"Morgan Freeman is sharing his thoughts on Taylor Swift and Travis Kelce. in a new interview, the 86-year-old Oscar-winning actor, who is a big fan of the Kansas City Chiefs, was asked how he feels about the 33-year-old “Blank Space” singer dating the 34-year-…",2023-10-29T22:58:02Z,Just Jared,Romance,Neutral
Taylor Swift sets single-day streaming record on Spotify thanks to re-recorded '1989',"""Taylor's Version"" of the singer-songwriter's 2014 album is the most-streamed album of the year one day after its release.",2023-10-29T20:06:45Z,Los Angeles Times,Musical Creation,Positive
Only One Taylor Swift Album Never Spawned a No. 1 Hit—Until Four Years Later,"From “Space Oddity” to “Cruel Summer,” the long history of second-chance hits.",2023-10-27T19:39:45Z,Slate Magazine,Musical Creation,Positive
Taylor Swift Slams “Victorian Era” Expectations of Her Love Life in 1989 (Taylor’s Version) Liner Notes,The performer once again lamented the focus on her romantic life.,2023-10-27T16:49:55Z,Vanity Fair,Musical Creation,Positive
"Taylor Swift is Now a BILLIONAIRE, You Guys!","Taylor Swift has struck it VERY rich. According to multiple accounts, the singer has reached billionaire status!
Taylor Swift is Now a BILLIONAIRE, You Guys! was originally published on The Hollywood Gossip.",2023-10-27T15:22:42Z,The Hollywood Gossip,Personal Life,Positive
Bloomberg' Reports That Taylor Swift Is Officially a Billionaire!,The Eras Tour alone has earned $225 million so far.,2023-10-27T11:55:00Z,Cosmopolitan.com,Personal Life,Positive
Taylor Swift Can Really Brag About Raking in Dollars Now,"Taylor Swift has reached billionaire status, thanks largely to the value of the masters she owns and her still-running Eras tour. Bloomberg estimated her net worth at $1.1 billion.",2023-10-27T14:46:34Z,Vulture,Personal Life,Positive
Taylor Swift Won’t Let 1989 Go Out of Style,"Taylor Swift won’t let 1989 go out of style. Her Taylor’s Version re-recording of the album is out now, including five new From the Vault tracks: “‘Slut!,’” “Say Don’t Go,” “Now That We Don’t Talk,” “Suburban Legends,” and “Is It Over Now?”",2023-10-27T04:00:00Z,Vulture,Musical Creation,Positive
How Niche Is Your Taylor Swift Halloween Costume?,Swifties are not putting their Halloween costumes in the basement. They’re letting them be bejeweled. Here’s all of the niche and sparkly Taylor Swift-inspired Halloween costumes.,2023-10-29T23:00:45Z,Vulture,Public Image & Media Perception,Positive
Taylor Swift Seemingly Shuts Down Bisexual Rumors & Reports of Dating Female Friends in '1989' Prologue,"Taylor Swift is finally addressing the “Gaylor” rumors that have been spreading for years, in which fans have come up with wild theories of her dating female friends. After Taylor was slut-shamed in the media for her relationships with various famous guys, sh…",2023-10-27T05:47:24Z,Just Jared,Public Image & Media Perception,Neutral
"Taylor Swift: 'Say Don't Go' Lyrics Revealed, Plus Fans Speculate Song Meaning - Listen Now!","Taylor Swift‘s new song from the vault, “Say Don’t Go,” has been released as part of her album 1989 (Taylor’s Version). The 33-year-old singer seemingly wrote the song a decade ago as it was originally supposed to be on her 1989 album, which originally came o…",2023-10-27T04:03:59Z,Just Jared,Musical Creation,Positive
"Taylor Swift: 'Suburban Legends' Lyrics Revealed, Fans Hear 'Mastermind' Similarities - Listen to Both Songs!","Taylor Swift has so many new hits on her hands with the vault tracks from 1989 (Taylor’s Version) and we gotta talk about “Suburban Legends.” The 33-year-old singer sings about a relationship that is bound to make an impact on her life, even if it has to end …",2023-10-27T04:18:54Z,Just Jared,Musical Creation,Positive
Taylor Swift Unleashes '1989 (Taylor's Version)' Deluxe Edition Featuring Kendrick Lamar's 'Bad Blood' Verse,"Taylor Swift delivered the ultimate surprise to her fans who have been eagerly awaiting 1989 (Taylor’s Version). Her take on her 2014 album arrived on Friday (October 27). However, Swifties noticed that one song was missing from the tracklist – her duet versi…",2023-10-27T12:30:51Z,Just Jared,Musical Creation,Positive
Taylor Swift Took Drastic Measures to Protect '1989' From Leaking Back in 2014,"There’s new information about how Taylor Swift kept her Grammy-winning album 1989 from leaking back in 2014, the year it was originally released. Of course, songs getting leaked is a huge concern for artists in the digital age. Taylor was understandably deter…",2023-10-27T16:38:24Z,Just Jared,Musical Creation,Neutral
"Taylor Swift & Travis Kelce Are Getting 'More Serious' as a Couple, Insider Says",Taylor Swift and Travis Kelce‘s relationship is probably the most high-profile relationship in the world right now and it’s continuing to go strong! An insider is opening up about how the couple is getting “more serious” just a couple months into dating. Keep…,2023-10-27T21:41:49Z,Just Jared,Romance,Neutral
Jack Antonoff & Margaret Qualley Share a Kiss Following Dinner with Taylor Swift!,Jack Antonoff and Margaret Qualley are looking in love following a dinner with Taylor Swift to celebrate the release of 1989 (Taylor’s Version)! The 39-year-old Bleachers singer and producer and the 29-year-old actress were spotted leaving 4 Charles Prime Rib…,2023-10-28T05:15:55Z,Just Jared,Personal Life,Neutral
Taylor Swift Beats Her Own Spotify Streaming Records With '1989 (Taylor's Version)',"Taylor Swift continues to prove that she is in a class of her own! The 33-year-old “Shake It Off” pop titan just released 1989 (Taylor’s Version) on Friday (October 27), and she is already breaking streaming records on Spotify. However, the only person that s…",2023-10-28T21:43:41Z,Just Jared,Musical Creation,Positive
Is Taylor Swift Going to Travis Kelce's Chiefs-Broncos Football Game?,"Fans are eagerly waiting to see if Taylor Swift will be attending her boyfriend Travis Kelce‘s game on Sunday (October 29), and we have an answer. The 33-year-old singer-songwriter, who just dropped her 1989 (Taylor’s Version), has been attending several of t…",2023-10-29T14:27:53Z,Just Jared,Romance,Neutral
"Travis Kelce Reveals His Halloween Plans, But Is Taylor Swift Joining Him?","Travis Kelce revealed he has some Halloween plans ahead of his big trip to Germany! If you don’t know, the 34-year-old Kansas City Chiefs Tight End is set to travel to Germany this week with his teammates as they prepare to play an NFL game in the country on …",2023-10-31T17:26:28Z,Just Jared,Romance,Neutral
Taylor Swift Explains Why She Didn't Include '1989' Vault Tracks on Original Album,Taylor Swift has released five songs from her vault for 1989 (Taylor’s Version) and she’s explaining why she didn’t include some of them on the original album. The 1989 album was originally released back in 2014 and Taylor dropped her version exactly nine yea…,2023-10-28T02:05:32Z,Just Jared,Musical Creation,Neutral
Diane Warren Shares Sweet Note From Taylor Swift After '1989' Vault Track 'Say Don't Go' Release,"Diane Warren is one of the songwriters on Taylor Swift‘s just released 1989 (Taylor’s Version)! The award-winning songwriter co-wrote the song “Say Don’t Go” with the entertainer, which is one of the five vault tracks on the re-recorded album. Following the r…",2023-10-29T22:44:22Z,Just Jared,Personal Life,Positive
Denver Broncos Troll Travis Kelce's Kansas City Chiefs by Playing Taylor Swift After Upset Win,"The Denver Broncos are poking fun at Travis Kelce and the Kansas City Chiefs after their big win! The Broncos upset the Chiefs on Sunday (October 29) in Denver, Colo. by a score of 24-9, breaking a 16-game losing streak against their AFC West rivals. The mome…",2023-10-30T22:46:07Z,Just Jared,Romance,Neutral
Taylor Swift Sends New Friend Brittany Mahomes '1989 (Taylor's Version)' Gifts,"Taylor Swift is gifting Brittany Mahomes with her new album 1989 (Taylor’s Version) and a special cardigan to go with it! The “Anti-Hero” singer has recently become friends with Brittany, who is married to Kansas City Chiefs quarterback Patrick Mahomes. Taylo…",2023-10-28T17:49:17Z,Just Jared,Personal Life,Positive
25 Taylor Swift Memes for 1989 Enjoyers and Spotify Crashers,"The day has come, 1989 (Taylor's Version) is out. And if you're anything like me, you stayed up til midnight and went straight to the vault tracks. Waiting for a TS drop feels like the New Year's Eve ball drop. 1989 celebrates a departure to pop, a new, glitt…",2023-10-28T21:00:00Z,Cheezburger.com,Public Image & Media Perception,Positive
Quiz: Which Definitely Not Gay Taylor Swift Song Are You?,"Are you dancing in your Levis drunk under a streetlight? Passing by her house on your skateboard? Avoiding Cornelia Street? Is the blood rushing into your cheeks so scarlet it was maroon? Time to find out!
The post Quiz: Which Definitely Not Gay Taylor Swift …",2023-10-29T12:00:23Z,Autostraddle.com,Public Image & Media Perception,Neutral
Taylor Swift: Artist paints the star on giant Halloween pumpkin,It took Ohio-based Jeanette Paras 10 hours to create the artwork.,2023-10-27T11:11:29Z,BBC News,Public Image & Media Perception,Positive
Taylor Swift Skips Travis Kelce’s Away Game,"Taylor Swift was not spotted in the stadium to cheer on  Travis Kelce as the Kansas City Chiefs tight end and his team faced the Denver Broncos for the second time this season. Shortly after the game started, announcers noted that Swift, 33, had not been seen…",2023-10-29T21:25:24Z,Us Weekly,Romance,Negative
Taylor Swift won’t attend Travis Kelce’s Chiefs-Broncos game with ‘Eras Tour’ return nearing,"Travis Kelce’s numbers have supported claims that he plays better with Taylor Swift in attendance, but this week, the 34-year-old will be on his own.",2023-10-28T14:21:12Z,New York Post,Romance,Neutral
There's one thing Taylor Swift isn't talking about,Taylor Swift is a billionaire after her Eras Tour and movie boosted her 2023 net worth. The pop star's brand benefits from her downplaying her wealth.,2023-11-01T09:24:01Z,Business Insider,Personal Life,Negative
"A Taylor Swift Airbnb is a bachelorette dream home where megafans can bask in her ""Eras"" for up to $1,400 a night","You can rent this Taylor Swift Airbnb in Scottsdale, Arizona. Each room is devoted to a different era, from ""Reputation"" to ""Lover"" to ""Folklore.""",2023-11-01T15:29:50Z,Business Insider,Public Image & Media Perception,Positive
"Gen Z's financial icons revealed: Taylor Swift beats Warren Buffett, and Bill Gates tops the list","Bill Gates, Beyoncé, and Oprah Winfrey made the list of people who embody financial success for Gen Z, according to a new survey of college students.",2023-11-04T08:56:01Z,Business Insider,Public Image & Media Perception,Positive
Get Your Parkas Ready For December 2024 – Canadian Swifties Haven't Been Able To Focus Since Taylor Swift JUST Announced Three New Concert Dates,Step 1) Register for Verified Fan Presale on Ticketmaster. Step 2) Look at flights to Vancouver.View Entire Post ›,2023-11-02T21:44:37Z,Buzzfeed,Public Image & Media Perception,Positive
Taylor Swift Adds 2024 Vancouver Dates To Eras Tour,"Vancouver Swifties will have an extra something to celebrate next holiday season: Taylor Swift has added three dates in the city to the 2024 leg of her Eras Tour. The new dates are Dec. 6, 7 and 8, 2024, at B.C. Place in Vancouver, British Columbia. Gracie Ab…",2023-11-02T17:29:06Z,Deadline,Performances,Neutral
"Taylor Swift defeats Taylor Swift, also everybody else, with sales for 1989 (Taylor's Version)","Taylor Swift has now officially beaten pretty much the only person on the planet giving her a real fight for pop music dominance at the moment: Herself. This is per Deadline, reporting on the first serious sales numbers for Swift’s latest release, the (Taylor…",2023-11-05T22:41:00Z,The A.V. Club,Musical Creation,Positive
‘Swifties’ Have Superb Hotel Options For Taylor Swift’s Global Tour,These hotels offer excellent accommodations for the hordes of Swifties that are expected to travel throughout the world to see Taylor Swift's tour.,2023-11-01T11:46:28Z,Forbes,Public Image & Media Perception,Positive
Taylor Swift Announces “The Eras Tour” Shows in Vancouver,"""The Eras Tour"" comes to BC Place in December 2024.
Taylor Swift Announces “The Eras Tour” Shows in Vancouver
Scoop Harrison",2023-11-02T15:25:25Z,Consequence.net,Performances,Neutral
Taylor Swift Lands Biggest Sales Week of Her Career With 1989 (Taylor’s Version),The album’s No. 1 debut on the Billboard 200 is the best an album has done in sales subce Adele’s 25,2023-11-05T20:32:46Z,Pitchfork,Musical Creation,Positive
The Taylor Swift economy: Red hot,How music’s most iconic name became a GDP star,2023-11-01T19:45:00Z,Quartz India,Industry-specific Impact,Positive
Taylor Swift bringing Eras Tour to Vancouver after all!,"We’re enchanted with the news that Taylor Swift | The Eras Tour is coming to Vancouver at BC Place, December 6-8, 2024 with special guest Gracie Abrams. Verified Fan Onsale registration is now open thru November 4 at 5pm PT. For more information visit: https:…",2023-11-03T07:35:01Z,Livejournal.com,Performances,Positive
Joe Pera Announces 2024 Taylor Swift-Inspired “PERAs Tour”,"Joe Pera has revealed dates for ""The PERAs Tour,"" his solo headlining standup comedy tour across the US in 2024. Read all the details and find tickets here.",2023-11-02T18:24:04Z,Consequence.net,Industry-specific Impact,Positive
"Taylor Swift Extends 'Eras Tour' Through End of 2024, Adds Three More Canada Dates","Taylor Swift is extending The Eras Tour once again! On Thursday (November 2), the 33-year-old “Cruel Summer” entertainer announced that she will be adding three more dates to her tour in Canada, which will now extend her tour through December 2024. PHOTOS: Ch…",2023-11-02T17:40:17Z,Just Jared,Performances,Neutral
"Tour news: Taylor Swift, Jerry Seinfeld, The Dwarves, Screaming Females, and more","Here’s a roundup of recent tour news. Check the Tour Dates category for more. TAYLOR SWIFT Taylor Swift continues to expand The Eras Tour, having added three new Vancouver shows in December 2024. Will this tour ever end? Swifties hope not. All dates are here.…",2023-11-03T22:07:03Z,Brooklyn Vegan,Performances,Neutral
How to Get Tickets to Taylor Swift’s Vancouver “Eras Tour” Shows,"Swift will close out the historic tour in December 2024 with a final three-night run in Vancouver. Learn how to get tickets, including pre-sale info here.
How to Get Tickets to Taylor Swift’s Vancouver “Eras Tour” Shows
Jo Vito",2023-11-02T18:18:44Z,Consequence.net,Performances,Neutral
